Distance_(microns),Gray_Value
0.000,115.0000
0.065,115.0000
0.130,115.0000
0.195,115.0000
0.260,115.0000
0.325,115.0000
0.390,115.0000
0.455,115.0000
0.520,115.0000
0.585,115.0000
0.650,115.0000
0.715,115.0000
0.780,115.0000
0.845,115.0000
0.910,115.0000
0.975,115.0000
1.040,115.0000
1.105,115.0000
1.170,115.0063
1.235,115.0959
1.300,115.7320
1.365,115.7866
1.430,115.9255
1.495,115.9938
1.560,116.0000
1.625,116.0000
1.690,116.0000
1.755,116.0000
1.820,116.0000
1.885,116.0000
1.950,116.0000
2.015,116.2448
2.080,116.8043
2.145,117.0000
2.210,117.0000
2.275,117.0000
2.340,117.0000
2.405,117.0000
2.470,117.0000
2.535,117.0000
2.600,117.0000
2.665,117.3478
2.730,117.7625
2.795,117.9830
2.860,118.0000
2.925,118.0000
2.990,118.0000
3.055,118.0000
3.120,118.1173
3.185,118.4122
3.250,118.7219
3.315,118.9998
3.380,119.2212
3.445,119.5309
3.510,119.9099
3.575,120.2966
3.640,120.8190
3.705,121.1023
3.770,121.4013
3.835,121.8801
3.900,122.0272
3.965,122.3605
4.030,122.8997
4.095,123.1872
4.160,123.8179
4.225,124.0000
4.290,124.3819
4.355,124.9388
4.420,125.1187
4.485,125.7455
4.550,126.0000
4.615,126.0000
4.680,126.3054
4.745,126.8974
4.810,127.0000
4.875,127.0000
4.940,127.5237
5.005,128.0000
5.070,128.0000
5.135,128.3976
5.200,128.9585
5.265,129.0000
5.330,129.0000
5.395,129.0000
5.460,129.0000
5.525,129.1920
5.590,129.8050
5.655,130.0000
5.720,130.0000
5.785,130.0000
5.850,130.0000
5.915,130.0000
5.980,130.0519
6.045,130.3262
6.110,130.5201
6.175,130.6676
6.240,130.8279
6.305,130.8561
6.370,130.9474
6.435,131.0000
6.500,131.0000
6.565,131.0000
6.630,131.0000
6.695,131.0035
6.760,131.0966
6.825,131.4064
6.890,131.7162
6.955,131.9424
7.020,132.0000
7.085,132.0000
7.150,132.0864
7.215,132.7009
7.280,133.0000
7.345,133.0000
7.410,133.2017
7.475,133.9227
7.540,134.0000
7.605,134.0000
7.670,134.2276
7.735,134.9853
7.800,135.0000
7.865,135.0000
7.930,135.0000
7.995,135.0000
8.060,135.2069
8.125,135.8661
8.190,136.0000
8.255,136.0000
8.320,136.0000
8.385,136.0000
8.450,136.2031
8.515,136.9997
8.580,137.0000
8.645,137.0000
8.710,137.1533
8.775,137.9933
8.840,138.0000
8.905,138.0056
8.970,138.1342
9.035,138.9869
9.100,139.0000
9.165,139.0933
9.230,139.4084
9.295,139.8465
9.360,139.9854
9.425,140.0000
9.490,140.0623
9.555,140.2730
9.620,140.7124
9.685,140.6843
9.750,140.9685
9.815,141.0000
9.880,141.0000
9.945,141.0000
10.010,141.0000
10.075,141.0000
10.140,141.0000
10.205,141.0000
10.270,141.0000
10.335,141.0000
10.400,141.0000
10.465,141.0000
10.530,141.0000
10.595,141.0000
