Distance_(microns),Gray_Value
0.0000,40.00000
0.0650,40.00000
0.1300,40.00000
0.1950,40.00000
0.2600,40.00000
0.3250,40.00000
0.3900,40.00000
0.4550,40.00000
0.5200,40.00000
0.5850,40.00000
0.6500,40.00000
0.7150,40.00000
0.7800,40.00000
0.8450,40.00000
0.9100,40.00000
0.9750,40.00000
1.0400,40.00000
1.1050,40.00000
1.1700,40.00000
1.2350,40.00000
1.3000,40.00000
1.3650,40.00000
1.4300,40.00000
1.4950,40.00000
1.5600,40.00000
1.6250,40.00000
1.6900,40.00000
1.7550,40.00000
1.8200,40.00000
1.8850,40.00000
1.9500,40.00000
2.0150,40.00000
2.0800,40.00000
2.1450,40.00000
2.2100,40.00000
2.2750,40.00000
2.3400,40.00000
2.4050,40.00000
2.4700,40.00000
2.5350,40.00000
2.6000,40.00000
2.6650,40.00000
2.7300,40.00000
2.7950,40.00000
2.8600,40.00000
2.9250,40.00000
2.9900,40.00000
3.0550,40.00000
3.1200,40.00000
3.1850,40.00000
3.2500,40.00000
3.3150,40.00000
3.3800,40.00000
3.4450,40.00000
3.5100,40.00000
3.5750,40.00000
3.6400,40.00000
3.7050,40.00000
3.7700,40.00000
3.8350,40.00000
3.9000,40.00000
3.9650,40.00000
4.0300,40.00000
4.0950,40.00000
4.1600,40.00000
4.2250,40.00000
4.2900,40.00000
4.3550,40.00000
4.4200,40.00000
4.4850,40.00000
4.5500,40.00000
4.6150,40.00000
4.6800,40.00000
4.7450,40.00000
4.8100,40.00000
4.8750,40.00000
4.9400,40.00000
5.0050,40.00000
5.0700,40.00000
5.1350,40.00000
5.2000,40.00000
5.2650,40.00000
5.3300,40.00000
5.3950,40.00000
5.4600,40.00000
5.5250,40.00000
5.5900,40.00000
5.6550,40.00000
5.7200,40.00000
5.7850,40.00000
5.8500,40.00000
5.9150,40.00000
5.9800,40.00000
6.0450,40.00000
6.1100,40.00000
6.1750,40.00000
6.2400,40.00000
6.3050,40.00000
6.3700,40.00000
6.4350,40.00000
6.5000,40.00000
6.5650,40.00000
6.6300,40.00000
6.6950,40.00000
6.7600,40.00000
6.8250,40.00000
6.8900,40.00000
6.9550,40.00000
7.0200,40.00000
7.0850,40.00000
7.1500,40.00000
7.2150,40.00000
7.2800,40.00000
7.3450,40.00000
7.4100,40.00000
7.4750,40.00000
7.5400,40.00000
7.6050,40.00000
7.6700,40.00000
7.7350,40.00000
7.8000,40.00000
7.8650,40.00000
7.9300,40.00000
7.9950,40.00000
8.0600,40.00000
8.1250,40.00000
8.1900,40.00000
8.2550,40.00000
8.3200,40.00000
8.3850,40.00000
8.4500,40.00000
8.5150,40.00000
8.5800,40.00000
8.6450,40.00000
8.7100,40.00000
8.7750,40.00000
8.8400,40.00000
8.9050,40.00000
8.9700,40.00000
9.0350,40.00000
9.1000,40.00000
9.1650,40.00000
9.2300,40.00000
9.2950,40.00000
9.3600,40.00000
9.4250,40.00000
9.4900,40.00000
9.5550,40.00000
9.6200,40.00000
9.6850,40.00000
9.7500,40.00000
9.8150,40.00000
9.8800,39.99955
9.9450,40.00000
10.0100,39.93284
10.0750,39.96266
10.1400,40.00000
10.2050,39.98044
10.2700,39.96717
10.3350,39.88057
10.4000,39.89762
10.4650,39.71911
10.5300,39.80373
10.5950,39.82702
10.6600,39.80677
10.7250,39.99911
10.7900,40.00000
10.8550,40.00000
10.9200,40.00000
10.9850,40.00000
11.0500,40.00000
11.1150,40.00000
11.1800,40.00000
11.2450,40.00000
11.3100,40.00000
11.3750,40.00000
11.4400,40.00000
11.5050,40.00000
11.5700,40.00000
11.6350,40.00000
11.7000,40.00000
11.7650,40.00000
11.8300,40.00000
11.8950,40.00000
11.9600,40.00000
12.0250,40.00000
12.0900,40.00000
12.1550,40.00000
12.2200,40.00000
12.2850,40.00000
12.3500,40.00000
12.4150,40.00000
12.4800,40.00000
12.5450,40.00000
12.6100,40.00000
12.6750,40.00000
12.7400,40.00000
12.8050,40.00000
12.8700,40.00000
12.9350,40.00000
13.0000,40.00000
13.0650,40.00000
13.1300,40.00000
13.1950,40.00000
13.2600,40.00000
13.3250,40.00000
13.3900,40.00000
13.4550,40.00000
13.5200,40.00000
13.5850,40.00000
