Distance_(microns),Gray_Value
0.0000,142.000
0.3250,141.173
0.6500,145.981
0.9750,151.600
1.3000,154.464
1.6250,151.976
1.9500,149.602
2.2750,152.857
2.6000,147.738
2.9250,130.400
3.2500,115.515
3.5750,118.030
3.9000,121.249
4.2250,121.560
4.5500,133.515
4.8750,143.521
5.2000,143.812
5.5250,142.154
5.8500,145.692
6.1750,138.523
6.5000,123.385
6.8250,102.154
7.1500,90.582
7.4750,93.309
7.8000,95.029
8.1250,86.053
8.4500,89.000
8.7750,95.492
9.1000,96.418
9.4250,94.881
9.7500,92.136
10.0750,98.277
10.4000,107.629
10.7250,109.899
11.0500,108.242
11.3750,110.485
11.7000,110.134
12.0250,100.336
12.3500,84.985
12.6750,81.560
13.0000,79.604
13.3250,72.968
13.6500,69.462
13.9750,70.930
14.3000,71.792
14.6250,74.645
14.9500,85.216
15.2750,94.968
15.6000,101.663
15.9250,101.125
16.2500,101.467
16.5750,100.050
16.9000,97.600
17.2250,92.188
17.5500,87.493
17.8750,87.787
18.2000,92.318
18.5250,92.224
18.8500,97.072
19.1750,116.180
19.5000,137.988
19.8250,160.694
20.1500,175.523
20.4750,170.688
20.8000,158.714
21.1250,154.000
21.4500,158.780
21.7750,152.801
22.1000,146.182
22.4250,147.946
22.7500,156.917
23.0750,161.678
23.4000,162.952
23.7250,166.114
24.0500,159.927
24.3750,149.929
24.7000,149.831
25.0250,149.538
25.3500,144.000
25.6750,140.462
26.0000,140.473
26.3250,138.260
26.6500,138.557
26.9750,152.928
27.3000,167.916
27.6250,172.935
27.9500,164.377
28.2750,151.185
28.6000,137.415
28.9250,125.231
29.2500,116.479
29.5750,107.000
29.9000,96.900
30.2250,88.516
30.5500,78.130
30.8750,69.982
31.2000,72.584
31.5250,84.859
31.8500,94.620
32.1750,97.092
32.5000,88.828
32.8250,90.045
33.1500,95.358
33.4750,87.846
33.8000,78.320
34.1250,73.349
34.4500,65.693
34.7750,52.584
35.1000,50.525
35.4250,56.408
35.7500,60.012
36.0750,67.507
36.4000,79.219
36.7250,90.596
37.0500,91.177
37.3750,81.278
37.7000,72.236
38.0250,77.440
38.3500,96.520
38.6750,123.937
39.0000,148.728
39.3250,156.347
39.6500,152.918
39.9750,139.767
40.3000,124.056
40.6250,116.982
40.9500,113.352
41.2750,111.261
41.6000,119.814
41.9250,127.373
42.2500,132.000
