Distance_(microns),Gray_Value
0.0000,90.0000
0.3250,89.4113
0.6500,88.8626
0.9750,89.0981
1.3000,88.7908
1.6250,88.0825
1.9500,85.0323
2.2750,84.0484
2.6000,84.3528
2.9250,85.1137
3.2500,87.0161
3.5750,88.7419
3.9000,90.3111
4.2250,90.4951
4.5500,90.0760
4.8750,88.9836
5.2000,88.6618
5.5250,86.5864
5.8500,86.0806
6.1750,86.1142
6.5000,85.5744
6.8250,83.4266
7.1500,82.7669
7.4750,83.8447
7.8000,84.6587
8.1250,83.7258
8.4500,83.6712
8.7750,83.9602
9.1000,81.3684
9.4250,79.5122
9.7500,77.1623
10.0750,73.5000
10.4000,71.3861
10.7250,74.0445
11.0500,76.4126
11.3750,76.4844
11.7000,75.6452
12.0250,75.2742
12.3500,75.0000
12.6750,74.1150
13.0000,72.6004
13.3250,71.0557
13.6500,71.2388
13.9750,71.3629
14.3000,71.6275
14.6250,73.0773
14.9500,74.2586
15.2750,75.2666
15.6000,73.9573
15.9250,72.6371
16.2500,71.1015
16.5750,68.4082
16.9000,62.8460
17.2250,58.3710
17.5500,55.4376
17.8750,53.1316
18.2000,50.9032
18.5250,48.9014
18.8500,47.7425
19.1750,45.9516
19.5000,43.5078
19.8250,41.7016
20.1500,39.5000
20.4750,38.1936
20.8000,36.9719
21.1250,36.6855
21.4500,38.1134
21.7750,39.4436
22.1000,39.9677
22.4250,39.7797
22.7500,39.4334
23.0750,39.2581
23.4000,39.6379
23.7250,39.8741
24.0500,38.5760
24.3750,38.3306
24.7000,38.6889
25.0250,40.0000
25.3500,40.0000
25.6750,39.8525
26.0000,39.3871
26.3250,38.2131
26.6500,38.2742
26.9750,38.8629
27.3000,39.4516
27.6250,39.5140
27.9500,39.9032
28.2750,40.0916
28.6000,40.6191
28.9250,39.8468
29.2500,39.9839
29.5750,41.1452
29.9000,41.6441
30.2250,40.7500
30.5500,40.8710
30.8750,41.2419
31.2000,42.7513
31.5250,43.8790
31.8500,43.7383
32.1750,46.5242
32.5000,50.6316
32.8250,55.1855
33.1500,59.8710
33.4750,63.6202
33.8000,68.8647
34.1250,72.7869
34.4500,77.1452
34.7750,82.1371
35.1000,86.2986
35.4250,87.7666
35.7500,87.0702
36.0750,87.3372
36.4000,86.4194
36.7250,85.6532
37.0500,86.8299
37.3750,87.5609
37.7000,88.1592
38.0250,88.5671
38.3500,87.7529
38.6750,87.0887
39.0000,86.0968
39.3250,86.9126
39.6500,87.8913
39.9750,87.6683
40.3000,88.0000
40.6250,88.4355
40.9500,87.7539
41.2750,87.1358
41.6000,87.4350
41.9250,88.8835
42.2500,89.4464
42.5750,90.6803
42.9000,92.0302
43.2250,92.2222
43.5500,91.2346
43.8750,93.2177
44.2000,95.3548
44.5250,96.0000
44.8500,95.6394
45.1750,93.9594
45.5000,92.5317
45.8250,91.5783
46.1500,90.2758
46.4750,89.2950
46.8000,87.1967
47.1250,87.0000
47.4500,87.7060
47.7750,88.6007
48.1000,90.2716
48.4250,91.0000
48.7500,91.2966
49.0750,91.2021
49.4000,90.6223
49.7250,88.5242
50.0500,85.8871
50.3750,84.0000
50.7000,83.1290
51.0250,84.5242
51.3500,87.0578
51.6750,88.6779
52.0000,88.7294
52.3250,85.2281
52.6500,78.7768
52.9750,71.4698
53.3000,66.0125
53.6250,62.6694
53.9500,59.6613
54.2750,54.7810
54.6000,50.6951
54.9250,48.2177
55.2500,46.7581
55.5750,44.9919
55.9000,43.0323
56.2250,42.0741
56.5500,41.5645
56.8750,41.1259
57.2000,41.3621
57.5250,42.4839
57.8500,44.4152
58.1750,46.2448
58.5000,47.9677
58.8250,47.4256
59.1500,46.9672
59.4750,46.8455
59.8000,46.6774
60.1250,46.0715
60.4500,45.5000
60.7750,44.1048
61.1000,43.5203
61.4250,42.9300
61.7500,41.0167
62.0750,39.0323
62.4000,39.8439
62.7250,40.8897
63.0500,41.8085
63.3750,42.5117
63.7000,43.1041
64.0250,43.8920
64.3500,45.6498
64.6750,47.3775
65.0000,48.7638
65.3250,49.8629
65.6500,50.8871
65.9750,51.5622
66.3000,51.5838
66.6250,52.1498
66.9500,52.0000
67.2750,52.0000
67.6000,52.4516
67.9250,54.1410
68.2500,57.0593
68.5750,60.0351
68.9000,60.7804
69.2250,62.7812
69.5500,68.9880
69.8750,76.5767
70.2000,81.6785
70.5250,83.7500
70.8500,82.5817
71.1750,83.5523
71.5000,85.3226
71.8250,85.7742
72.1500,84.9230
72.4750,82.1561
72.8000,83.6264
73.1250,85.6795
73.4500,86.0895
73.7750,85.7903
74.1000,85.2227
74.4250,84.6600
74.7500,86.7612
75.0750,89.3998
75.4000,88.0812
75.7250,88.1530
76.0500,87.5104
76.3750,86.1371
76.7000,84.4402
77.0250,85.5390
77.3500,89.0057
77.6750,90.8863
78.0000,91.1915
78.3250,91.9703
78.6500,91.3704
78.9750,86.3127
79.3000,84.0978
79.6250,84.8023
79.9500,86.3387
80.2750,87.5060
80.6000,90.0000
