Distance_(microns),Gray_Value
0.0000,92.0000
0.3250,91.4113
0.6500,90.3184
0.9750,90.0000
1.3000,89.4995
1.6250,89.0000
1.9500,88.4677
2.2750,87.8790
2.6000,87.6108
2.9250,87.7786
3.2500,88.0000
3.5750,87.5242
3.9000,87.6337
4.2250,87.3468
4.5500,87.2201
4.8750,87.1694
5.2000,87.0000
5.5250,86.9943
5.8500,86.4032
6.1750,85.9402
6.5000,85.2258
6.8250,85.0000
7.1500,84.2940
7.4750,84.0000
7.8000,83.8710
8.1250,83.2367
8.4500,82.3970
8.7750,81.2097
9.1000,81.0000
9.4250,80.9274
9.7500,80.3387
10.0750,79.7500
10.4000,78.4849
10.7250,77.5726
11.0500,76.9839
11.3750,76.3059
11.7000,75.8064
12.0250,75.2177
12.3500,75.0000
12.6750,75.0182
13.0000,74.4516
13.3250,73.9274
13.6500,74.1452
13.9750,73.6855
14.3000,73.0968
14.6250,73.0000
14.9500,72.9194
15.2750,72.3306
15.6000,71.7419
15.9250,71.1532
16.2500,70.5645
16.5750,69.6662
16.9000,65.7170
17.2250,61.9113
17.5500,58.5323
17.8750,55.5081
18.2000,52.9355
18.5250,50.3809
18.8500,47.9355
19.1750,45.5255
19.5000,42.9677
19.8250,41.1603
20.1500,40.5000
20.4750,40.0000
20.8000,40.0000
21.1250,39.4261
21.4500,39.0000
21.7750,39.0000
22.1000,39.0000
22.4250,39.0000
22.7500,39.0000
23.0750,39.0000
23.4000,39.0000
23.7250,39.0000
24.0500,39.0000
24.3750,39.0000
24.7000,39.0000
25.0250,39.0000
25.3500,39.0000
25.6750,39.0000
26.0000,39.0968
26.3250,39.6855
26.6500,40.0000
26.9750,40.0000
27.3000,39.5931
27.6250,39.4737
27.9500,39.4058
28.2750,39.4004
28.6000,39.8325
28.9250,40.4844
29.2500,40.4032
29.5750,40.9235
29.9000,41.1613
30.2250,41.7500
30.5500,42.3387
30.8750,42.9274
31.2000,44.2352
31.5250,45.4355
31.8500,47.4516
32.1750,50.2419
32.5000,53.0323
32.8250,56.9415
33.1500,62.1899
33.4750,67.7654
33.8000,72.0937
34.1250,75.6613
34.4500,79.2581
34.7750,82.8525
35.1000,85.0968
35.4250,85.9196
35.7500,86.5380
36.0750,87.0000
36.4000,87.0000
36.7250,87.0000
37.0500,87.0000
37.3750,87.0000
37.7000,87.0000
38.0250,87.0000
38.3500,87.5536
38.6750,87.9982
39.0000,88.0000
39.3250,88.0000
39.6500,87.6816
39.9750,87.3317
40.3000,87.0000
40.6250,87.5887
40.9500,88.0000
41.2750,88.0000
41.6000,88.0000
41.9250,88.0000
42.2500,88.5323
42.5750,89.0000
42.9000,89.3205
43.2250,90.0770
43.5500,90.8944
43.8750,91.0000
44.2000,91.0000
44.5250,91.0000
44.8500,91.0702
45.1750,91.7503
45.5000,91.0562
45.8250,91.0000
46.1500,90.4839
46.4750,90.1855
46.8000,90.7742
47.1250,91.0000
47.4500,91.0000
47.7750,91.0000
48.1000,91.0000
48.4250,91.0000
48.7500,91.0000
49.0750,91.0000
49.4000,91.0000
49.7250,91.0000
50.0500,90.8720
50.3750,90.0000
50.7000,88.5172
51.0250,87.7380
51.3500,86.5806
51.6750,85.6376
52.0000,83.7680
52.3250,81.7229
52.6500,79.4703
52.9750,75.8369
53.3000,70.5806
53.6250,66.4508
53.9500,62.4485
54.2750,56.3548
54.6000,51.3725
54.9250,48.5783
55.2500,46.8226
55.5750,45.4274
55.9000,44.7419
56.2250,44.1532
56.5500,43.5645
56.8750,43.1290
57.2000,43.9355
57.5250,43.9480
57.8500,44.5484
58.1750,45.2203
58.5000,45.1883
58.8250,45.4292
59.1500,45.6618
59.4750,45.6922
59.8000,45.6774
60.1250,45.0887
60.4500,45.0000
60.7750,44.1764
61.1000,44.0000
61.4250,43.4261
61.7500,43.0000
62.0750,42.5564
62.4000,42.0000
62.7250,42.2445
63.0500,42.0000
63.3750,42.2581
63.7000,43.0645
64.0250,43.8710
64.3500,45.3548
64.6750,46.9677
65.0000,48.5806
65.3250,49.7981
65.6500,50.8143
65.9750,51.0000
66.3000,51.5161
66.6250,52.0000
66.9500,52.0000
67.2750,52.0000
67.6000,52.8585
67.9250,54.1592
68.2500,57.3226
68.5750,60.5403
68.9000,62.7419
69.2250,66.5081
69.5500,71.8455
69.8750,77.2661
70.2000,81.5172
70.5250,83.0000
70.8500,84.1452
71.1750,84.9274
71.5000,85.0000
71.8250,85.0237
72.1500,85.6712
72.4750,85.3980
72.8000,85.3091
73.1250,85.4597
73.4500,86.0000
73.7750,85.9766
74.1000,86.1967
74.4250,86.2627
74.7500,86.4032
75.0750,86.9919
75.4000,87.0000
75.7250,87.1694
76.0500,87.7581
76.3750,88.0000
76.7000,88.0000
77.0250,88.0000
77.3500,88.1129
77.6750,88.1811
78.0000,88.4214
78.3250,88.8790
78.6500,90.0213
78.9750,91.0564
79.3000,91.6452
79.6250,92.2339
79.9500,92.8226
80.2750,92.8861
80.6000,93.0000
