Distance_(microns),Gray_Value
0.0000,175.333
0.3250,173.600
0.6500,171.407
0.9750,168.539
1.3000,166.409
1.6250,164.640
1.9500,163.740
2.2750,161.522
2.6000,160.753
2.9250,159.670
3.2500,158.482
3.5750,157.849
3.9000,156.449
4.2250,155.042
4.5500,154.000
4.8750,154.000
5.2000,154.279
5.5250,154.963
5.8500,155.598
6.1750,155.872
6.5000,155.876
6.8250,155.289
7.1500,155.072
7.4750,154.803
7.8000,153.500
8.1250,146.825
8.4500,128.037
8.7750,108.515
9.1000,86.615
9.4250,68.081
9.7500,61.876
10.0750,60.203
10.4000,58.699
10.7250,56.928
11.0500,55.495
11.3750,55.000
11.7000,54.689
12.0250,54.000
12.3500,54.000
12.6750,54.000
13.0000,53.430
13.3250,52.589
13.6500,51.319
13.9750,49.574
14.3000,47.779
14.6250,46.569
14.9500,45.616
15.2750,44.172
15.6000,41.495
15.9250,39.714
16.2500,39.079
16.5750,38.444
16.9000,37.360
17.2250,36.659
17.5499,35.816
17.8749,35.044
18.1999,35.000
18.5249,35.367
18.8499,36.005
19.1749,37.911
19.4999,40.259
19.8249,44.177
20.1499,50.910
20.4749,59.373
20.7999,74.140
21.1249,94.369
21.4499,113.581
21.7749,130.521
22.0999,140.648
22.4249,143.520
22.7499,146.719
23.0749,149.100
23.3999,151.158
23.7249,152.252
24.0499,155.635
24.3749,159.491
24.6999,163.333
25.0249,164.736
25.3499,164.093
25.6749,163.980
25.9999,162.798
26.3249,160.746
26.6499,158.470
26.9749,156.294
27.2999,154.972
27.6249,153.271
27.9499,150.774
28.2749,148.959
28.5999,149.565
28.9249,150.025
29.2499,150.905
29.5749,153.237
29.8999,155.112
30.2249,156.230
30.5499,156.873
30.8749,157.417
31.1999,158.000
31.5249,158.000
31.8499,157.506
32.1749,156.963
32.4999,155.407
32.8249,154.225
33.1499,152.370
33.4749,147.055
33.7999,136.979
34.1249,118.844
34.4499,103.581
34.7749,87.881
35.0999,68.593
35.4249,57.562
35.7499,52.695
36.0749,49.246
36.3999,46.211
36.7249,43.378
37.0499,41.933
37.3749,41.000
37.6999,41.007
38.0249,40.913
38.3499,41.063
38.6749,41.835
38.9999,42.050
39.3249,42.916
39.6499,44.323
39.9749,45.000
40.2999,45.201
40.6249,45.996
40.9499,46.143
41.2749,46.288
41.5999,46.151
41.9249,45.935
42.2499,45.026
42.5749,43.891
42.8999,42.604
43.2249,42.406
43.5499,42.330
43.8749,42.124
44.1999,42.056
44.5249,42.174
44.8499,42.809
45.1749,43.000
45.4999,43.604
45.8249,44.244
46.1499,45.040
46.4749,45.872
46.7999,48.147
47.1249,49.109
47.4499,49.912
47.7749,50.511
48.0999,51.905
48.4249,52.795
48.7499,53.844
49.0749,56.069
49.3999,57.283
49.7249,60.692
50.0499,69.525
50.3749,85.265
50.6999,103.871
51.0249,115.809
51.3498,127.592
51.6749,133.674
51.9998,136.368
52.3248,140.447
52.6498,143.202
52.9748,145.011
53.2998,146.708
53.6248,147.950
53.9498,148.000
54.2748,148.000
54.5998,148.159
54.9248,148.978
55.2498,149.764
55.5748,150.500
55.8998,151.564
56.2248,152.079
56.5498,152.940
56.8748,153.487
57.1998,154.884
57.5248,155.000
57.8498,155.000
58.1748,155.000
58.4998,155.000
58.8248,155.219
59.1498,155.991
59.4748,156.000
59.7998,155.977
60.1248,155.342
60.4498,155.079
60.7748,155.851
61.0998,155.788
61.4248,156.000
61.7498,156.167
