Distance_(microns),Gray_Value
0.0000,122.000
0.3250,122.099
0.6500,124.407
0.9750,128.221
1.3000,130.493
1.6250,132.173
1.9500,134.148
2.2750,136.323
2.6000,137.615
2.9250,136.568
3.2500,137.491
3.5750,136.275
3.9000,135.577
4.2250,136.734
4.5500,136.405
4.8750,135.593
5.2000,135.765
5.5250,134.799
5.8500,132.222
6.1750,128.829
6.5000,128.914
6.8250,128.645
7.1500,125.037
7.4750,122.639
7.8000,122.155
8.1250,121.671
8.4500,121.702
8.7750,124.111
9.1000,124.965
9.4250,124.177
9.7500,122.984
10.0750,122.923
10.4000,124.057
10.7250,125.193
11.0500,126.190
11.3750,126.457
11.7000,123.568
12.0250,115.790
12.3500,105.939
12.6750,97.394
13.0000,89.012
13.3250,81.347
13.6500,73.296
13.9750,66.443
14.3000,59.272
14.6250,52.877
14.9500,49.048
15.2750,45.099
15.6000,44.037
15.9250,43.761
16.2500,42.845
16.5750,41.894
16.9000,40.078
17.2250,40.249
17.5499,39.556
17.8749,39.049
18.1999,37.864
18.5249,36.815
18.8499,36.198
19.1749,35.741
19.4999,34.615
19.8249,34.000
20.1499,34.007
20.4749,34.691
20.7999,35.000
21.1249,35.079
21.4499,35.110
21.7749,35.960
22.0999,35.272
22.4249,35.000
22.7499,35.244
23.0749,35.156
23.3999,35.000
23.7249,36.336
24.0499,36.790
24.3749,36.704
24.6999,36.078
25.0249,36.531
25.3499,37.834
25.6749,42.976
25.9999,53.741
26.3249,68.000
26.6499,85.679
26.9749,97.198
27.2999,104.405
27.6249,106.063
27.9499,105.362
28.2749,101.322
28.5999,97.970
28.9249,97.178
29.2499,104.704
29.5749,107.027
29.8999,99.167
30.2249,85.989
30.5499,72.119
30.8749,60.983
31.1999,55.886
31.5249,50.723
31.8499,48.007
32.1749,47.889
32.4999,47.695
32.8249,45.938
33.1499,45.370
33.4749,45.420
33.7999,45.155
34.1249,43.051
34.4499,41.708
34.7749,39.792
35.0999,37.556
35.4249,37.088
35.7499,37.090
36.0749,35.778
36.3999,35.494
36.7249,36.214
37.0499,36.583
37.3749,36.002
37.6999,36.000
38.0249,35.778
38.3499,35.643
38.6749,35.506
38.9999,37.704
39.3249,39.296
39.6499,39.232
39.9749,39.199
40.2999,38.902
40.6249,40.901
40.9499,44.679
41.2749,49.629
41.5999,56.072
41.9249,69.195
42.2499,82.329
42.5749,94.820
42.8999,104.439
43.2249,110.715
43.5499,114.487
43.8749,116.667
44.1999,120.245
44.5249,121.251
44.8499,122.178
45.1749,125.472
45.4999,129.507
45.8249,131.682
46.1499,135.901
46.4749,139.235
46.7999,142.222
47.1249,144.362
47.4499,146.358
47.7749,146.665
48.0999,145.079
48.4249,142.122
48.7499,141.263
49.0749,140.519
49.3999,142.106
49.7249,146.444
50.0499,146.881
50.3749,145.489
50.6999,146.402
51.0249,146.086
51.3498,146.446
51.6749,146.464
51.9998,146.123
52.3248,144.185
52.6498,144.000
