Distance_(microns),Gray_Value
0.0000,132.000
0.3250,132.000
0.6500,132.000
0.9750,132.055
1.3000,132.246
1.6250,133.037
1.9500,133.923
2.2750,134.000
2.6000,134.341
2.9250,135.111
3.2500,135.745
3.5750,135.756
3.9000,136.000
4.2250,135.951
4.5500,134.716
4.8750,133.741
5.2000,132.561
5.5250,131.506
5.8500,130.469
6.1750,128.543
6.5000,127.309
6.8250,126.645
7.1500,125.679
7.4750,124.802
7.8000,124.185
8.1250,123.568
8.4500,123.000
8.7750,123.000
9.1000,122.716
9.4250,122.099
9.7500,122.000
10.0750,121.370
10.4000,119.963
10.7250,118.278
11.0500,112.848
11.3750,109.432
11.7000,104.420
12.0250,99.888
12.3500,97.126
12.6750,92.218
13.0000,88.674
13.3250,83.557
13.6500,74.111
13.9750,66.495
14.3000,59.716
14.6250,54.778
14.9500,50.903
15.2750,48.938
15.6000,45.852
15.9250,44.045
16.2500,42.407
16.5750,41.037
16.9000,39.901
17.2250,39.284
17.5499,38.667
17.8749,38.049
18.1999,37.432
18.5249,36.815
18.8499,36.198
19.1749,36.000
19.4999,35.571
19.8249,35.000
20.1499,35.000
20.4749,35.000
20.7999,35.000
21.1249,35.000
21.4499,35.000
21.7749,35.000
22.0999,35.000
22.4249,35.000
22.7499,35.000
23.0749,35.000
23.3999,35.000
23.7249,35.062
24.0499,35.679
24.3749,36.296
24.6999,36.914
25.0249,37.531
25.3499,40.187
25.6749,46.840
25.9999,60.056
26.3249,82.000
26.6499,93.617
26.9749,99.938
27.2999,102.092
27.6249,103.332
27.9499,104.222
28.2749,104.667
28.5999,104.430
28.9249,104.235
29.2499,102.333
29.5749,97.454
29.8999,85.840
30.2249,74.381
30.5499,64.765
30.8749,56.294
31.1999,52.407
31.5249,50.344
31.8499,48.349
32.1749,47.580
32.4999,46.695
32.8249,44.870
33.1499,43.800
33.4749,42.235
33.7999,40.827
34.1249,40.037
34.4499,38.922
34.7749,38.000
35.0999,37.667
35.4249,36.877
35.7499,36.086
36.0749,36.000
36.3999,36.000
36.7249,36.000
37.0499,36.000
37.3749,36.000
37.6999,36.000
38.0249,36.444
38.3499,37.000
38.6749,37.011
38.9999,37.815
39.3249,38.000
39.6499,38.395
39.9749,39.185
40.2999,39.975
40.6249,43.222
40.9499,49.222
41.2749,57.889
41.5999,68.949
41.9249,81.898
42.2499,92.194
42.5749,100.420
42.8999,107.413
43.2249,112.432
43.5499,116.383
43.8749,118.333
44.1999,119.914
44.5249,122.309
44.8499,125.148
45.1749,128.309
45.4999,131.630
45.8249,133.815
46.1499,135.524
46.4749,137.970
46.7999,138.691
47.1249,139.287
47.4499,140.000
47.7749,140.148
48.0999,140.960
48.4249,141.728
48.7499,142.804
49.0749,143.309
49.3999,144.099
49.7249,144.889
50.0499,145.000
50.3749,145.469
50.6999,146.000
51.0249,146.049
51.3498,146.840
51.6749,147.000
51.9998,147.420
52.3248,148.210
52.6498,149.000
