Distance_(microns),Gray_Value
0.0000,38.0000
0.0650,38.1132
0.1300,38.8392
0.1950,39.1716
0.2600,39.2999
0.3250,39.2401
0.3900,39.9727
0.4550,40.4569
0.5200,40.3950
0.5850,40.3693
0.6500,40.4455
0.7150,40.4696
0.7800,40.8495
0.8450,41.0000
0.9100,40.7385
0.9750,40.5477
1.0400,40.8639
1.1050,40.6877
1.1700,40.5031
1.2350,40.3810
1.3000,40.2183
1.3650,40.9412
1.4300,41.4108
1.4950,41.9346
1.5600,42.0000
1.6250,42.0000
1.6900,42.0000
1.7550,42.0188
1.8200,41.7513
1.8850,41.2114
1.9500,40.9899
2.0150,41.1262
2.0800,41.1365
2.1450,40.9825
2.2100,40.5736
2.2750,40.4489
2.3400,40.0163
2.4050,39.9549
2.4700,39.3876
2.5350,39.2740
2.6000,39.2702
2.6650,38.9401
2.7300,38.6638
2.7950,38.6488
2.8600,38.3662
2.9250,38.2716
2.9900,38.4492
3.0550,38.6632
3.1200,39.0792
3.1850,39.0764
3.2500,39.3508
3.3150,39.8656
3.3800,39.6755
3.4450,39.8244
3.5100,40.4702
3.5750,41.1175
3.6400,41.6123
3.7050,42.2378
3.7700,42.1514
3.8350,42.0750
3.9000,42.3703
3.9650,42.3836
4.0300,42.2700
4.0950,41.9945
4.1600,41.5375
4.2250,41.0187
4.2900,41.2057
4.3550,40.8136
4.4200,40.9515
4.4850,40.9745
4.5500,40.7507
4.6150,40.6412
4.6800,40.9317
4.7450,40.6090
4.8100,40.6672
4.8750,40.1657
4.9400,40.3312
5.0050,40.2312
5.0700,40.0020
5.1350,39.9528
5.2000,39.7967
5.2650,39.3772
5.3300,39.3508
5.3950,39.3349
5.4600,39.1920
5.5250,39.1327
5.5900,38.9354
5.6550,38.8415
5.7200,38.9794
5.7850,38.8420
5.8500,39.3862
5.9150,39.2966
5.9800,39.4125
6.0450,39.2389
6.1100,39.2915
6.1750,39.3474
6.2400,39.6863
6.3050,39.7331
6.3700,39.9163
6.4350,40.0018
6.5000,40.0003
6.5650,40.1026
6.6300,40.1829
6.6950,40.0951
6.7600,40.1751
6.8250,40.3007
6.8900,40.6306
6.9550,40.5709
7.0200,40.1668
7.0850,40.3403
7.1500,40.0439
7.2150,39.9089
7.2800,39.6597
7.3450,39.6602
7.4100,39.3787
7.4750,39.6544
7.5400,39.9401
7.6050,39.9069
7.6700,39.8611
7.7350,39.8890
7.8000,40.0505
7.8650,39.8934
7.9300,39.4772
7.9950,39.2335
8.0600,39.6257
8.1250,39.4376
8.1900,39.2043
8.2550,39.6236
8.3200,39.5013
8.3850,39.5253
8.4500,39.8863
8.5150,39.7494
8.5800,40.2915
8.6450,40.2292
8.7100,40.2876
8.7750,40.0417
8.8400,39.9091
8.9050,39.5445
8.9700,39.0842
9.0350,38.5917
9.1000,38.5153
9.1650,38.3493
9.2300,38.3000
9.2950,38.0164
9.3600,37.7325
9.4250,37.3849
9.4900,37.4988
9.5550,37.3504
9.6200,37.3785
9.6850,37.7282
9.7500,37.8906
9.8150,38.0398
9.8800,38.7290
9.9450,39.4896
10.0100,39.2841
10.0750,39.9233
10.1400,39.8234
10.2050,40.6438
10.2700,41.1519
10.3350,41.6464
10.4000,42.4418
10.4650,43.1364
10.5300,43.8027
10.5950,44.6983
10.6600,45.0776
10.7250,45.7796
10.7900,46.4866
10.8550,46.0271
10.9200,45.5966
10.9850,45.9045
11.0500,45.0857
11.1150,44.3127
11.1800,43.5536
11.2450,42.8061
11.3100,42.2545
11.3750,41.5941
11.4400,41.0037
11.5050,40.8381
11.5700,40.3797
11.6350,40.2721
11.7000,40.5857
11.7650,40.5254
11.8300,40.0213
11.8950,40.0000
11.9600,40.1676
12.0250,40.7603
12.0900,40.6992
12.1550,40.7000
12.2200,41.0429
12.2850,41.4933
12.3500,41.2243
12.4150,40.9523
12.4800,40.4418
12.5450,40.4573
12.6100,40.3505
12.6750,40.1113
12.7400,40.0131
12.8050,40.0830
12.8700,39.9534
12.9350,39.9816
13.0000,39.7093
13.0650,39.2148
13.1300,39.3580
13.1950,39.4296
13.2600,39.1489
13.3250,39.0893
13.3900,39.2099
13.4550,39.1802
13.5200,39.1465
13.5850,39.8386
13.6500,40.0000
13.7150,40.0000
13.7800,40.0000
13.8450,39.9950
13.9100,40.0000
13.9750,39.9319
14.0400,39.8113
14.1050,39.9898
14.1700,40.0134
14.2350,39.7769
14.3000,39.4492
14.3650,39.2641
14.4300,39.0170
14.4950,39.0000
14.5600,39.0000
14.6250,39.0000
14.6900,39.0000
14.7550,38.8578
14.8200,38.4569
14.8850,38.4443
14.9500,39.3185
15.0150,39.4310
15.0800,39.4676
15.1450,39.9991
15.2100,40.5095
15.2750,40.3951
15.3400,40.9651
15.4050,41.0290
15.4700,40.4894
15.5350,40.6845
15.6000,40.2911
15.6650,40.5708
15.7300,40.6298
15.7950,40.0302
15.8600,40.0557
15.9250,40.2504
15.9900,40.1428
16.0550,39.4656
16.1200,39.6145
16.1850,39.5478
16.2500,39.1269
16.3150,38.5669
16.3800,38.6797
16.4450,38.5372
16.5100,38.5208
16.5750,38.4891
16.6400,38.6567
16.7050,38.6713
16.7700,39.0587
16.8350,39.5720
16.9000,39.6166
16.9650,39.8024
17.0300,39.9448
17.0950,40.0000
17.1600,40.2718
17.2250,40.3230
17.2900,40.5628
17.3550,40.5399
17.4200,40.3888
17.4850,40.1721
17.5500,40.1803
17.6150,40.5617
17.6800,40.4260
17.7450,40.3347
17.8100,40.5381
17.8750,40.6213
17.9400,40.4452
18.0050,40.3980
18.0700,40.8288
18.1350,40.5907
18.2000,40.6290
18.2650,40.6155
18.3300,40.5459
18.3950,40.2460
18.4600,39.9083
18.5250,39.8169
18.5900,39.9104
18.6550,40.0339
18.7200,39.9257
18.7850,40.4683
18.8500,40.0007
18.9150,39.9620
18.9800,40.0000
19.0450,40.1918
19.1100,40.0345
19.1750,39.8318
19.2400,39.9049
19.3050,39.8171
19.3700,39.9987
19.4350,40.0665
19.5000,40.5208
19.5650,40.8005
19.6300,40.9304
19.6950,40.5201
19.7600,40.3517
19.8250,40.5438
19.8900,40.5282
19.9550,40.2357
20.0200,40.2621
20.0850,40.1711
20.1500,40.0298
20.2150,40.6286
20.2800,40.6551
20.3450,40.3725
20.4100,40.3709
20.4750,40.7600
20.5400,40.6960
20.6050,40.3583
20.6700,40.2528
20.7350,39.8120
20.8000,39.4656
20.8650,39.2494
20.9300,39.0000
20.9950,39.0000
21.0600,39.1046
21.1250,39.5972
21.1900,39.6396
21.2550,39.4666
21.3200,39.6085
21.3850,39.7449
21.4500,39.7477
21.5150,39.8469
21.5800,40.1891
21.6450,40.2000
21.7100,40.5060
21.7750,40.9291
21.8400,41.5051
21.9050,42.0223
21.9700,42.0577
22.0350,41.8192
22.1000,42.1534
22.1650,42.5230
22.2300,41.9633
22.2950,41.6238
22.3600,41.4740
22.4250,41.1435
22.4900,40.8363
22.5550,40.6398
22.6200,40.2089
22.6850,39.9915
22.7500,39.5614
22.8150,39.0094
22.8800,38.9744
22.9450,38.6902
23.0100,38.2643
23.0750,38.0685
23.1400,38.0079
23.2050,38.0758
23.2700,38.1890
23.3350,38.0390
23.4000,38.2237
23.4650,38.0065
23.5300,37.9703
23.5950,38.1855
23.6600,38.6057
23.7250,39.0145
23.7900,39.1370
23.8550,39.4883
23.9200,39.2407
23.9850,39.2132
24.0500,39.4420
24.1150,39.8317
24.1800,39.3656
24.2450,39.5944
24.3100,39.8117
24.3750,39.9375
24.4400,39.8206
24.5050,39.6352
24.5700,39.3819
24.6350,39.4193
24.7000,39.9144
24.7650,40.2221
24.8300,39.8189
24.8950,39.6814
24.9600,39.8108
25.0250,40.3218
25.0900,40.7602
25.1550,40.8496
25.2200,40.6928
25.2850,40.2785
25.3500,40.5263
25.4150,41.2334
25.4800,41.5156
25.5450,41.5759
25.6100,41.5795
25.6750,41.6730
25.7400,41.9006
25.8050,42.2676
25.8700,41.6117
25.9350,41.0508
26.0000,41.2039
26.0650,40.6855
26.1300,40.2939
26.1950,39.3835
26.2600,38.4186
26.3250,38.2020
26.3900,38.0000
26.4550,38.1259
26.5200,38.2722
26.5850,38.2289
26.6500,37.5491
26.7150,36.9753
26.7800,36.4183
26.8450,36.4136
26.9100,36.4938
26.9750,36.4351
27.0400,35.9963
27.1050,35.6897
27.1700,35.6907
27.2350,35.5725
27.3000,35.1545
27.3650,35.3367
