Distance_(microns),Gray_Value
0.000,115.025
0.065,122.513
0.130,128.672
0.195,130.106
0.260,125.968
0.325,125.381
0.390,126.672
0.455,123.180
0.520,122.761
0.585,120.401
0.650,117.990
0.715,119.125
0.780,119.560
0.845,120.430
0.910,123.315
0.975,125.811
1.040,125.947
1.105,124.211
1.170,121.258
1.235,122.834
1.300,122.002
1.365,122.847
1.430,126.360
1.495,123.396
1.560,122.725
1.625,118.238
1.690,117.440
1.755,117.608
1.820,116.215
1.885,110.328
1.950,105.446
2.015,103.078
2.080,101.858
2.145,97.042
2.210,93.415
2.275,93.737
2.340,92.095
2.405,94.008
2.470,96.171
2.535,94.075
2.600,97.629
2.665,100.403
2.730,100.556
2.795,104.177
2.860,107.650
2.925,107.961
2.990,109.572
3.055,112.291
3.120,114.715
3.185,116.541
3.250,120.927
3.315,123.977
3.380,122.018
3.445,121.739
3.510,122.511
3.575,125.259
3.640,123.977
3.705,124.272
3.770,126.906
3.835,125.516
3.900,126.254
3.965,130.620
4.030,132.797
4.095,131.250
4.160,131.177
4.225,135.578
4.290,137.072
4.355,135.998
4.420,136.611
4.485,138.401
4.550,135.772
4.615,134.039
4.680,134.104
4.745,129.700
4.810,128.388
4.875,131.766
4.940,134.822
5.005,131.928
5.070,129.135
5.135,129.307
5.200,128.591
5.265,128.591
5.330,129.566
5.395,126.834
5.460,125.526
5.525,124.333
5.590,124.067
5.655,123.301
5.720,122.988
5.785,126.082
5.850,127.254
5.915,126.356
5.980,127.226
6.045,130.047
6.110,132.583
6.175,131.522
6.240,132.471
6.305,136.666
6.370,137.293
6.435,133.716
6.500,132.205
6.565,132.739
6.630,135.029
6.695,137.120
6.760,134.516
6.825,132.690
6.890,134.120
6.955,131.795
7.020,129.064
7.085,127.702
7.150,130.741
7.215,131.087
7.280,129.592
7.345,124.090
7.410,122.482
7.475,124.179
7.540,122.484
7.605,123.875
7.670,127.318
7.735,130.489
7.800,128.939
7.865,128.413
7.930,132.895
7.995,138.609
8.060,141.984
8.125,142.879
8.190,138.841
8.255,139.250
8.320,141.107
8.385,138.698
8.450,138.502
8.515,138.534
8.580,137.858
8.645,139.411
8.710,139.184
