Distance_(microns),Gray_Value
0.0000,162.333
0.0650,161.002
0.1300,161.334
0.1950,162.118
0.2600,164.769
0.3250,166.578
0.3900,165.631
0.4550,163.999
0.5200,167.639
0.5850,165.936
0.6500,166.525
0.7150,168.051
0.7800,162.784
0.8450,159.529
0.9100,157.144
0.9750,150.534
1.0400,147.771
1.1050,147.178
1.1700,151.911
1.2350,157.992
1.3000,163.589
1.3650,162.855
1.4300,165.824
1.4950,169.834
1.5600,173.332
1.6250,171.798
1.6900,170.270
1.7550,167.208
1.8200,166.869
1.8850,169.137
1.9500,168.022
2.0150,168.068
2.0800,168.110
2.1450,161.728
2.2100,158.849
2.2750,159.319
2.3400,164.800
2.4050,168.357
2.4700,170.419
2.5350,166.844
2.6000,162.677
2.6650,164.568
2.7300,170.381
2.7950,176.759
2.8600,180.709
2.9250,187.435
2.9900,191.312
3.0550,195.217
3.1200,191.164
3.1850,178.769
3.2500,173.281
3.3150,163.194
3.3800,150.944
3.4450,148.588
3.5100,153.283
3.5750,158.415
3.6400,160.263
3.7050,170.866
3.7700,176.341
3.8350,175.618
3.9000,178.889
3.9650,176.495
4.0300,166.094
4.0950,163.757
4.1600,165.948
4.2250,165.697
4.2900,162.266
4.3550,152.915
4.4200,154.920
4.4850,159.613
4.5500,169.691
4.6150,175.660
4.6800,178.036
4.7450,174.777
4.8100,172.440
4.8750,167.104
4.9400,161.064
5.0050,157.789
5.0700,157.468
5.1350,161.973
5.2000,171.066
5.2650,173.723
5.3300,175.826
5.3950,181.705
5.4600,179.181
5.5250,176.899
5.5900,179.661
5.6550,180.879
5.7200,175.816
5.7850,171.275
5.8500,165.063
5.9150,167.740
5.9800,166.548
6.0450,166.349
6.1100,171.813
6.1750,174.005
6.2400,173.075
6.3050,169.558
6.3700,168.443
6.4350,162.154
6.5000,168.490
6.5650,175.500
6.6300,176.101
6.6950,179.672
6.7600,177.764
6.8250,170.609
6.8900,167.648
6.9550,167.434
7.0200,169.796
7.0850,173.759
7.1500,175.947
7.2150,178.668
7.2800,179.135
7.3450,180.074
7.4100,177.937
7.4750,174.068
7.5400,176.068
7.6050,175.367
7.6700,174.023
7.7350,174.801
7.8000,180.021
7.8650,183.025
7.9300,176.187
7.9950,173.851
8.0600,170.173
8.1250,172.675
8.1900,170.665
8.2550,170.685
8.3200,175.827
8.3850,175.919
8.4500,177.801
8.5150,175.210
8.5800,175.534
8.6450,172.620
8.7100,170.526
8.7750,174.475
8.8400,180.002
8.9050,176.438
8.9700,168.215
9.0350,161.451
9.1000,156.968
9.1650,152.118
9.2300,153.908
9.2950,157.151
9.3600,156.990
9.4250,155.380
9.4900,157.153
9.5550,159.420
9.6200,165.248
9.6850,175.628
9.7500,182.490
9.8150,188.971
9.8800,193.381
9.9450,195.250
10.0100,198.207
10.0750,195.836
10.1400,197.435
10.2050,190.627
10.2700,189.463
10.3350,185.479
10.4000,185.080
10.4650,187.445
10.5300,186.725
10.5950,186.784
10.6600,184.449
10.7250,180.008
10.7900,183.848
10.8550,189.855
10.9200,195.121
10.9850,194.410
11.0500,197.767
11.1150,189.490
11.1800,183.642
11.2450,179.479
11.3100,178.593
11.3750,183.500
11.4400,187.192
11.5050,194.012
11.5700,189.568
11.6350,181.979
11.7000,177.435
11.7650,180.104
11.8300,188.665
11.8950,187.256
11.9600,183.026
12.0250,180.981
12.0900,172.599
12.1550,165.819
12.2200,162.057
12.2850,161.747
12.3500,159.220
12.4150,162.221
12.4800,162.697
12.5450,162.467
12.6100,166.882
12.6750,171.931
12.7400,174.589
12.8050,177.462
12.8700,178.559
12.9350,179.137
13.0000,180.239
13.0650,180.761
13.1300,182.324
13.1950,178.574
13.2600,177.123
13.3250,172.865
13.3900,179.390
13.4550,179.991
13.5200,177.451
13.5850,179.080
13.6500,177.087
13.7150,183.307
13.7800,184.353
13.8450,182.717
13.9100,180.476
13.9750,179.119
14.0400,181.603
14.1050,186.006
14.1700,187.502
14.2350,190.861
14.3000,187.863
14.3650,181.667
14.4300,174.939
14.4950,171.355
14.5600,170.791
14.6250,181.835
14.6900,184.604
14.7550,184.640
14.8200,180.913
14.8850,179.593
14.9500,176.759
15.0150,167.293
15.0800,164.240
15.1450,169.505
15.2100,170.900
15.2750,179.040
15.3400,181.138
15.4050,178.741
15.4700,177.273
15.5350,179.283
15.6000,177.308
15.6650,178.378
15.7300,181.910
15.7950,177.893
15.8600,173.407
15.9250,168.921
15.9900,170.856
16.0550,171.823
16.1200,174.518
16.1850,181.903
16.2500,178.854
16.3150,176.114
16.3800,176.206
16.4450,170.110
16.5100,171.145
16.5750,172.049
16.6400,166.762
16.7050,163.781
16.7700,162.263
16.8350,163.376
16.9000,167.208
16.9650,170.097
17.0300,172.018
17.0950,178.652
17.1600,184.368
17.2250,178.658
17.2900,171.926
17.3550,176.456
17.4200,175.922
17.4850,173.950
17.5500,170.552
17.6150,170.860
17.6800,170.834
17.7450,171.981
17.8100,172.492
17.8750,171.537
17.9400,176.183
18.0050,183.536
18.0700,188.457
18.1350,191.797
18.2000,184.376
18.2650,179.926
18.3300,180.053
18.3950,175.492
18.4600,167.167
18.5250,163.017
18.5900,159.365
18.6550,150.827
18.7200,145.423
18.7850,142.087
18.8500,140.277
18.9150,140.207
18.9800,148.454
19.0450,156.610
19.1100,163.946
19.1750,170.488
19.2400,167.015
19.3050,159.322
19.3700,146.259
19.4350,135.822
19.5000,128.915
19.5650,124.236
19.6300,117.155
19.6950,115.604
19.7600,118.259
19.8250,125.008
19.8900,133.954
19.9550,139.198
20.0200,133.372
20.0850,131.511
20.1500,122.982
20.2150,112.452
20.2800,101.032
20.3450,99.270
20.4100,94.083
20.4750,91.786
20.5400,95.389
20.6050,100.329
20.6700,104.886
20.7350,105.898
20.8000,109.103
20.8650,108.078
20.9300,105.585
20.9950,101.261
21.0600,98.088
21.1250,99.458
21.1900,100.366
21.2550,98.507
21.3200,99.784
21.3850,96.655
21.4500,89.057
21.5150,85.287
21.5800,81.231
21.6450,74.233
21.7100,73.117
21.7750,72.787
21.8400,73.621
21.9050,73.949
21.9700,72.214
22.0350,70.681
22.1000,68.271
22.1650,67.445
22.2300,68.025
22.2950,68.934
22.3600,72.707
22.4250,74.615
22.4900,72.270
22.5550,70.213
22.6200,68.815
22.6850,64.826
22.7500,59.731
22.8150,54.597
22.8800,55.909
22.9450,56.138
23.0100,60.801
23.0750,64.645
23.1400,62.223
23.2050,61.902
23.2700,58.701
23.3350,57.455
23.4000,59.625
23.4650,61.408
23.5300,61.753
23.5950,64.560
23.6600,68.586
23.7250,71.438
23.7900,72.706
23.8550,72.976
23.9200,70.349
23.9850,70.418
24.0500,68.707
24.1150,68.350
24.1800,67.211
24.2450,63.633
24.3100,58.067
24.3750,58.566
24.4400,58.481
24.5050,57.943
24.5700,57.149
24.6350,58.188
24.7000,56.900
24.7650,57.238
24.8300,59.176
24.8950,60.962
24.9600,63.033
25.0250,66.297
25.0900,71.232
25.1550,67.585
25.2200,70.810
25.2850,68.105
25.3500,64.389
25.4150,60.696
25.4800,56.259
25.5450,57.141
25.6100,56.986
25.6750,62.686
25.7400,70.236
25.8050,75.954
25.8700,83.313
25.9350,86.392
26.0000,87.479
