Distance_(microns),Gray_Value
0.0000,165.000
0.0650,165.251
0.1300,165.567
0.1950,165.718
0.2600,166.000
0.3250,166.000
0.3900,166.000
0.4550,166.000
0.5200,166.000
0.5850,166.000
0.6500,166.000
0.7150,166.000
0.7800,166.000
0.8450,166.000
0.9100,166.000
0.9750,166.000
1.0400,166.000
1.1050,166.000
1.1700,166.000
1.2350,166.000
1.3000,166.000
1.3650,166.000
1.4300,166.000
1.4950,166.000
1.5600,166.000
1.6250,166.000
1.6900,166.000
1.7550,166.000
1.8200,166.000
1.8850,166.000
1.9500,166.000
2.0150,166.000
2.0800,166.000
2.1450,166.000
2.2100,166.000
2.2750,166.000
2.3400,166.000
2.4050,165.715
2.4700,165.195
2.5350,165.031
2.6000,165.000
2.6650,165.000
2.7300,165.000
2.7950,165.016
2.8600,165.124
2.9250,165.216
2.9900,165.226
3.0550,165.119
3.1200,165.000
3.1850,165.077
3.2500,165.002
3.3150,165.001
3.3800,165.000
3.4450,165.000
3.5100,165.000
3.5750,165.000
3.6400,165.000
3.7050,165.000
3.7700,165.000
3.8350,165.000
3.9000,165.251
3.9650,165.969
4.0300,166.000
4.0950,166.000
4.1600,166.004
4.2250,166.423
4.2900,166.905
4.3550,167.000
4.4200,167.052
4.4850,167.169
4.5500,167.531
4.6150,167.680
4.6800,167.820
4.7450,167.857
4.8100,167.961
4.8750,167.968
4.9400,168.173
5.0050,168.265
5.0700,168.237
5.1350,168.344
5.2000,168.435
5.2650,168.721
5.3300,168.903
5.3950,168.994
5.4600,169.034
5.5250,169.125
5.5900,169.217
5.6550,169.158
5.7200,169.000
5.7850,169.000
5.8500,169.000
5.9150,169.000
5.9800,169.000
6.0450,169.000
6.1100,169.000
6.1750,169.014
6.2400,169.669
6.3050,170.000
6.3700,170.000
6.4350,170.000
6.5000,170.000
6.5650,170.000
6.6300,170.000
6.6950,170.000
6.7600,170.000
6.8250,170.000
6.8900,169.953
6.9550,169.868
7.0200,169.995
7.0850,169.929
7.1500,169.974
7.2150,169.999
7.2800,170.000
7.3450,170.000
7.4100,170.000
7.4750,170.000
7.5400,170.000
7.6050,170.000
7.6700,170.000
7.7350,170.000
7.8000,170.000
7.8650,170.000
7.9300,170.000
7.9950,170.105
8.0600,170.644
8.1250,171.000
8.1900,171.000
8.2550,171.000
8.3200,171.066
8.3850,171.782
8.4500,172.000
8.5150,172.000
8.5800,172.000
8.6450,172.000
8.7100,172.000
8.7750,172.022
8.8400,172.693
8.9050,173.000
8.9700,173.070
9.0350,173.885
9.1000,174.000
9.1650,174.000
9.2300,174.101
9.2950,174.828
9.3600,175.000
9.4250,175.000
9.4900,175.000
9.5550,175.000
9.6200,175.000
9.6850,175.000
9.7500,175.072
9.8150,175.164
9.8800,175.272
9.9450,175.473
10.0100,175.723
10.0750,175.970
10.1400,176.000
10.2050,176.000
10.2700,176.028
10.3350,176.146
10.4000,176.451
10.4650,176.613
10.5300,176.705
10.5950,176.813
10.6600,176.874
10.7250,176.734
10.7900,176.626
10.8550,176.662
10.9200,176.771
10.9850,176.862
11.0500,176.990
11.1150,177.000
11.1800,177.000
11.2450,177.000
11.3100,177.000
11.3750,177.127
11.4400,177.672
11.5050,177.808
11.5700,178.000
11.6350,178.000
11.7000,178.000
11.7650,178.000
11.8300,178.000
11.8950,178.000
11.9600,178.000
12.0250,178.000
12.0900,178.047
12.1550,178.597
12.2200,178.931
12.2850,179.000
12.3500,179.000
12.4150,179.000
12.4800,179.000
12.5450,179.172
12.6100,179.632
12.6750,179.736
12.7400,179.997
12.8050,180.000
12.8700,180.000
12.9350,180.000
13.0000,180.000
13.0650,180.000
13.1300,180.000
13.1950,180.000
13.2600,180.000
13.3250,180.142
13.3900,180.769
13.4550,181.000
13.5200,181.000
13.5850,181.000
13.6500,181.000
13.7150,181.000
13.7800,181.000
13.8450,181.000
13.9100,181.000
13.9750,181.000
14.0400,181.000
14.1050,181.000
14.1700,180.929
14.2350,180.937
14.3000,180.929
14.3650,180.870
14.4300,180.961
14.4950,180.977
14.5600,180.894
14.6250,180.986
14.6900,180.670
14.7550,180.553
14.8200,180.082
14.8850,180.020
14.9500,179.823
15.0150,179.716
15.0800,179.212
15.1450,178.986
15.2100,178.933
15.2750,178.858
15.3400,178.386
15.4050,177.964
15.4700,177.535
15.5350,177.418
15.6000,177.040
15.6650,176.645
15.7300,176.497
15.7950,176.057
15.8600,175.827
15.9250,175.312
15.9900,175.021
16.0550,174.711
16.1200,174.276
16.1850,174.101
16.2500,174.000
16.3150,173.956
16.3800,173.470
16.4450,173.254
16.5100,173.108
16.5750,172.791
16.6400,172.677
16.7050,172.581
16.7700,172.232
16.8350,172.125
16.9000,171.966
16.9650,171.893
17.0300,171.808
17.0950,171.461
17.1600,171.322
17.2250,171.000
17.2900,170.998
17.3550,170.983
17.4200,170.652
17.4850,170.167
17.5500,170.000
17.6150,170.000
17.6800,169.993
17.7450,169.397
17.8100,169.013
17.8750,169.000
17.9400,169.000
18.0050,168.793
18.0700,168.176
18.1350,168.056
18.2000,167.985
18.2650,167.533
18.3300,167.070
18.3950,166.715
18.4600,166.194
18.5250,165.861
18.5900,165.150
18.6550,164.287
18.7200,163.840
18.7850,162.937
18.8500,161.863
18.9150,160.492
18.9800,159.415
19.0450,157.906
19.1100,156.776
19.1750,155.015
19.2400,153.096
19.3050,150.790
19.3700,148.092
19.4350,145.653
19.5000,143.052
19.5650,140.346
19.6300,136.586
19.6950,132.676
19.7600,128.726
19.8250,124.822
19.8900,120.828
19.9550,117.398
20.0200,114.129
20.0850,110.594
20.1500,107.922
20.2150,105.416
20.2800,103.367
20.3450,101.067
20.4100,98.800
20.4750,96.921
20.5400,94.956
20.6050,92.660
20.6700,90.896
20.7350,89.295
20.8000,88.015
20.8650,86.336
20.9300,84.776
20.9950,83.483
21.0600,82.046
21.1250,80.308
21.1900,79.146
21.2550,77.670
21.3200,76.259
21.3850,75.135
21.4500,74.251
21.5150,73.484
21.5800,72.831
21.6450,72.079
21.7100,71.585
21.7750,70.727
21.8400,70.086
21.9050,69.871
21.9700,69.188
22.0350,68.679
22.1000,68.007
22.1650,67.947
22.2300,67.517
22.2950,67.219
22.3600,66.785
22.4250,66.510
22.4900,66.192
22.5550,65.796
22.6200,65.524
22.6850,65.161
22.7500,64.933
22.8150,64.789
22.8800,64.680
22.9450,64.589
23.0100,64.572
23.0750,64.679
23.1400,64.953
23.2050,64.997
23.2700,65.000
23.3350,65.000
23.4000,65.103
23.4650,65.190
23.5300,65.272
23.5950,65.412
23.6600,65.549
23.7250,65.633
23.7900,65.753
23.8550,66.057
23.9200,66.391
23.9850,66.519
24.0500,66.793
24.1150,66.943
24.1800,67.237
24.2450,67.335
24.3100,67.656
24.3750,67.772
24.4400,67.736
24.5050,67.643
24.5700,67.456
24.6350,67.033
24.7000,67.557
24.7650,67.811
24.8300,68.000
24.8950,68.000
24.9600,68.000
25.0250,68.000
25.0900,68.000
25.1550,68.339
25.2200,68.893
25.2850,68.996
25.3500,69.000
25.4150,69.000
25.4800,69.000
25.5450,69.054
25.6100,69.323
25.6750,69.964
25.7400,70.000
25.8050,70.016
25.8700,70.477
25.9350,70.959
26.0000,71.000
26.0650,71.322
26.1300,71.905
26.1950,72.237
26.2600,72.836
26.3250,73.167
26.3900,73.767
26.4550,74.098
26.5200,74.684
26.5850,75.060
26.6500,75.580
26.7150,76.026
26.7800,76.492
26.8450,76.967
26.9100,77.000
26.9750,77.345
27.0400,77.811
27.1050,78.138
27.1700,78.406
27.2350,78.878
27.3000,79.074
27.3650,79.614
27.4300,79.809
27.4950,80.402
27.5600,80.612
27.6250,80.828
27.6900,81.407
27.7550,81.633
27.8200,81.908
27.8850,82.239
27.9500,82.525
28.0150,82.739
28.0800,83.238
28.1450,83.543
28.2100,84.032
28.2750,84.677
28.3400,84.955
28.4050,85.585
28.4700,86.038
28.5350,86.730
28.6000,87.176
28.6650,88.015
28.7300,88.598
28.7950,89.039
28.8600,89.779
28.9250,90.342
28.9900,90.777
29.0550,91.196
29.1200,91.646
29.1850,92.070
29.2500,92.533
29.3150,93.119
29.3800,93.650
29.4450,94.334
29.5100,95.105
29.5750,95.790
29.6400,96.354
29.7050,97.088
29.7700,97.696
29.8350,98.663
29.9000,99.682
29.9650,100.381
30.0300,101.139
30.0950,101.927
30.1600,103.096
30.2250,103.998
30.2900,105.131
30.3550,106.058
30.4200,107.115
30.4850,108.231
30.5500,109.210
30.6150,110.235
30.6800,111.022
30.7450,111.815
30.8100,112.680
30.8750,113.575
30.9400,115.061
31.0050,116.154
31.0700,117.198
31.1350,118.441
31.2000,120.114
31.2650,121.694
31.3300,123.824
31.3950,125.839
31.4600,127.754
31.5250,129.440
31.5900,131.207
31.6550,132.948
31.7200,134.381
31.7850,135.728
31.8500,137.097
31.9150,138.562
31.9800,139.936
32.0450,141.303
32.1100,142.211
32.1750,143.623
32.2400,144.829
32.3050,146.327
32.3700,147.583
32.4350,148.660
32.5000,149.832
32.5650,151.126
32.6300,152.164
32.6950,153.068
32.7600,153.432
32.8250,153.978
32.8900,154.271
32.9550,154.482
33.0200,154.393
33.0850,154.530
33.1500,154.663
33.2150,155.000
33.2800,155.028
33.3450,155.497
33.4100,155.861
33.4750,155.958
33.5400,156.352
33.6050,156.917
33.6700,157.000
33.7350,157.030
33.8000,157.583
33.8650,157.840
33.9300,158.000
33.9950,158.000
34.0600,158.250
34.1250,158.703
34.1900,159.000
34.2550,159.000
34.3200,159.000
34.3850,159.000
34.4500,159.000
34.5150,159.000
34.5800,158.805
34.6450,158.578
34.7100,158.261
34.7750,158.118
34.8400,158.136
34.9050,158.228
34.9700,158.337
35.0350,158.428
35.1000,158.537
35.1650,158.644
35.2300,158.977
35.2950,159.034
35.3600,159.359
35.4250,159.477
35.4900,159.545
35.5550,159.113
35.6200,159.000
35.6850,159.000
35.7500,158.850
35.8150,158.251
35.8800,158.000
35.9450,157.966
36.0100,157.276
36.0750,157.000
36.1400,157.000
36.2050,156.823
36.2700,156.064
36.3350,155.956
36.4000,155.206
36.4650,155.000
36.5300,155.000
36.5950,154.800
36.6600,154.473
36.7250,154.235
36.7900,153.904
36.8550,153.320
36.9200,152.932
36.9850,152.279
37.0500,151.861
37.1150,151.060
37.1800,150.661
37.2450,149.546
37.3100,148.626
37.3750,147.929
37.4400,147.030
37.5050,146.090
37.5700,145.385
37.6350,144.262
37.7000,143.174
37.7650,141.714
37.8300,139.901
37.8950,137.701
37.9600,134.597
38.0250,131.731
38.0900,128.330
38.1550,125.054
38.2200,122.230
38.2850,118.848
38.3500,116.285
38.4150,114.137
38.4800,111.672
38.5450,109.382
38.6100,107.724
38.6750,105.918
38.7400,104.537
38.8050,103.334
38.8700,102.165
38.9350,101.401
39.0000,100.677
39.0650,99.850
39.1300,99.465
39.1950,98.965
39.2600,98.523
39.3250,98.068
39.3900,97.511
39.4550,97.162
39.5200,96.776
39.5850,96.405
39.6500,95.994
39.7150,95.583
39.7800,95.341
39.8450,94.764
39.9100,94.439
39.9750,94.025
40.0400,93.754
40.1050,93.212
40.1700,92.690
40.2350,92.386
40.3000,92.055
40.3650,91.661
40.4300,91.457
40.4950,91.274
40.5600,91.001
40.6250,90.508
40.6900,90.059
40.7550,89.786
40.8200,89.320
40.8850,89.000
40.9500,88.935
41.0150,88.242
41.0800,87.872
41.1450,87.194
41.2100,86.942
41.2750,86.542
41.3400,86.061
41.4050,85.708
41.4700,85.145
41.5350,84.987
41.6000,84.746
41.6650,84.208
41.7300,83.999
41.7950,83.773
41.8600,83.260
41.9250,83.089
41.9900,83.000
42.0550,83.000
42.1200,83.000
42.1850,82.878
42.2500,82.333
42.3150,82.021
42.3800,81.872
42.4450,81.104
42.5100,80.695
42.5750,80.163
42.6400,79.824
42.7050,79.527
42.7700,79.166
42.8350,78.832
42.9000,78.491
42.9650,78.159
43.0300,77.870
43.0950,77.476
43.1600,77.369
43.2250,77.317
43.2900,77.406
43.3550,77.223
43.4200,77.071
43.4850,77.090
43.5500,76.907
43.6150,76.758
43.6800,76.575
43.7450,76.392
43.8100,76.179
43.8750,76.027
43.9400,75.560
44.0050,75.288
44.0700,74.943
44.1350,74.569
44.2000,74.271
44.2650,73.747
44.3300,73.472
44.3950,73.380
44.4600,73.289
44.5250,73.180
44.5900,73.088
44.6550,73.000
44.7200,72.957
44.7850,72.866
44.8500,72.775
44.9150,72.666
44.9800,72.574
45.0450,72.465
45.1100,72.374
45.1750,72.282
45.2400,72.174
45.3050,72.082
45.3700,72.000
45.4350,72.025
45.5000,72.058
45.5650,72.000
45.6300,71.927
45.6950,71.835
45.7600,71.927
45.8250,71.966
45.8900,72.006
45.9550,72.000
46.0200,72.041
46.0850,72.112
46.1500,72.193
46.2150,72.317
46.2800,72.210
46.3450,72.118
46.4100,72.056
46.4750,72.185
46.5400,72.094
46.6050,72.002
46.6700,72.137
46.7350,72.069
46.8000,72.163
46.8650,72.136
46.9300,72.045
46.9950,72.000
47.0600,72.000
47.1250,72.000
47.1900,72.000
47.2550,72.000
47.3200,71.889
47.3850,71.188
47.4500,71.000
47.5150,71.000
47.5800,71.000
47.6450,71.000
47.7100,71.000
47.7750,71.000
47.8400,71.000
47.9050,71.000
47.9700,70.895
48.0350,70.320
48.1000,70.218
48.1650,70.000
48.2300,70.000
48.2950,70.000
48.3600,70.000
48.4250,70.000
48.4900,70.000
48.5550,70.000
48.6200,70.000
48.6850,70.000
48.7500,70.000
48.8150,70.000
48.8800,70.025
48.9450,70.000
49.0100,70.000
49.0750,70.008
49.1400,70.041
49.2050,70.117
49.2700,70.263
49.3350,70.468
49.4000,70.635
49.4650,71.119
49.5300,71.342
49.5950,71.525
49.6600,71.861
49.7250,72.087
49.7900,72.333
49.8550,72.738
49.9200,72.934
49.9850,73.258
50.0500,73.610
50.1150,73.785
50.1800,74.224
50.2450,74.478
50.3100,74.653
50.3750,75.296
50.4400,75.460
50.5050,76.214
50.5700,76.459
50.6350,77.083
50.7000,78.014
50.7650,78.862
50.8300,79.153
50.8950,79.807
50.9600,80.639
51.0250,80.976
51.0900,81.599
51.1550,82.335
51.2200,82.498
51.2850,83.381
51.3500,83.788
51.4150,84.317
51.4800,84.909
51.5450,85.240
51.6100,85.840
51.6750,86.206
51.7400,87.018
51.8050,87.746
51.8700,88.103
51.9350,88.867
52.0000,89.621
52.0650,90.029
52.1300,90.715
52.1950,91.510
52.2600,92.508
52.3250,93.543
52.3900,94.357
52.4550,95.325
52.5200,96.379
52.5850,97.744
52.6500,98.938
52.7150,100.359
52.7800,102.146
52.8450,103.819
52.9100,105.598
52.9750,107.638
53.0400,110.063
53.1050,112.383
53.1700,114.727
53.2350,116.630
53.3000,118.492
53.3650,120.353
53.4300,121.978
53.4950,123.240
53.5600,124.935
53.6250,126.298
53.6900,127.661
53.7550,129.445
53.8200,130.752
53.8850,132.203
53.9500,133.563
54.0150,135.024
54.0800,136.411
54.1450,137.609
54.2100,138.690
54.2750,139.846
54.3400,140.707
54.4050,141.551
54.4700,142.048
54.5350,142.782
54.6000,143.114
54.6650,143.823
54.7300,144.655
54.7950,145.046
54.8600,145.149
54.9250,145.453
54.9900,145.787
55.0550,146.101
55.1200,146.234
55.1850,146.316
55.2500,146.465
55.3150,146.525
55.3800,146.419
55.4450,146.162
55.5100,145.574
55.5750,145.394
55.6400,145.238
55.7050,145.000
55.7700,145.017
55.8350,145.011
55.9000,145.000
55.9650,145.000
56.0300,145.000
56.0950,145.233
56.1600,145.870
56.2250,146.389
56.2900,146.981
56.3550,147.441
56.4200,148.000
56.4850,148.005
56.5500,148.514
56.6150,149.066
56.6800,149.598
56.7450,150.000
56.8100,150.000
56.8750,150.000
56.9400,150.000
57.0050,150.000
57.0700,150.000
57.1350,150.000
57.2000,149.828
57.2650,149.171
57.3300,148.840
57.3950,148.285
57.4600,148.164
57.5250,148.066
57.5900,148.137
57.6550,148.000
57.7200,148.090
57.7850,148.243
57.8500,148.907
57.9150,149.000
57.9800,149.147
58.0450,149.348
58.1100,149.820
58.1750,150.000
58.2400,150.072
58.3050,150.328
58.3700,150.545
58.4350,150.776
58.5000,151.177
58.5650,151.489
58.6300,151.977
58.6950,152.000
58.7600,152.397
58.8250,152.946
58.8900,153.537
58.9550,154.004
59.0200,154.594
59.0850,155.232
59.1500,155.880
59.2150,156.234
59.2800,156.993
59.3450,157.674
59.4100,158.255
59.4750,158.977
59.5400,159.115
59.6050,159.933
59.6700,160.000
59.7350,160.000
59.8000,160.000
59.8650,160.329
59.9300,160.781
59.9950,160.691
60.0600,160.854
60.1250,161.000
60.1900,161.000
60.2550,161.000
60.3200,161.252
60.3850,161.828
60.4500,162.000
60.5150,162.000
60.5800,162.000
60.6450,162.000
60.7100,162.000
60.7750,162.000
60.8400,162.000
60.9050,162.000
60.9700,162.222
61.0350,162.687
61.1000,162.820
61.1650,163.000
61.2300,163.000
61.2950,163.000
61.3600,163.000
61.4250,163.000
61.4900,162.996
61.5550,163.000
61.6200,163.000
61.6850,162.736
61.7500,162.200
61.8150,162.000
61.8800,162.000
61.9450,162.000
62.0100,162.000
62.0750,161.788
62.1400,161.060
62.2050,161.000
62.2700,161.000
62.3350,161.000
62.4000,161.000
62.4650,161.000
62.5300,161.000
62.5950,161.000
62.6600,161.255
62.7250,161.402
62.7900,161.601
62.8550,161.758
62.9200,161.694
62.9850,161.803
63.0500,161.957
63.1150,161.986
63.1800,162.021
63.2450,162.000
63.3100,162.000
63.3750,162.000
63.4400,162.000
63.5050,162.000
63.5700,162.000
63.6350,162.000
63.7000,162.000
63.7650,162.000
63.8300,162.000
63.8950,162.000
63.9600,162.043
64.0250,162.373
64.0900,162.623
64.1550,162.973
64.2200,163.245
64.2850,163.488
64.3500,163.706
64.4150,163.815
64.4800,163.907
64.5450,163.786
64.6100,163.704
64.6750,163.664
64.7400,163.698
64.8050,163.580
